,id,city,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,venue
0,1,0.0,0,6,6,0,0,0,0.0,140,0,0
1,2,1.0,1,5,1,1,0,0,1.0,33,0,1
2,3,2.0,2,7,2,1,0,0,7.0,0,9,2
3,4,3.0,3,6,3,1,0,0,6.0,0,5,3
4,5,4.0,4,0,4,1,0,0,0.0,0,5,4
5,6,5.0,5,2,5,1,0,0,2.0,0,6,5
6,7,6.0,4,7,4,1,0,0,7.0,0,9,6
7,8,7.0,1,3,3,0,0,0,1.0,6,0,7
8,9,6.0,4,2,2,0,0,0,2.0,0,3,6
9,10,1.0,5,3,3,0,0,0,5.0,66,0,1
10,11,0.0,6,2,2,0,0,0,2.0,0,7,0
11,12,7.0,0,1,0,1,0,0,1.0,0,9,7
12,13,3.0,3,4,4,0,0,0,4.0,0,10,8
13,14,1.0,7,5,7,1,0,0,5.0,0,4,1
14,15,0.0,1,6,1,1,0,0,1.0,13,0,0
15,16,4.0,0,3,0,1,0,0,3.0,0,7,4
16,17,2.0,7,6,6,0,0,0,7.0,10,0,2
17,18,6.0,4,5,5,0,0,0,5.0,0,7,6
18,19,5.0,2,0,2,1,0,0,2.0,45,0,5
19,20,7.0,1,7,1,1,0,0,7.0,0,8,7
20,21,6.0,4,6,4,1,0,0,6.0,0,5,6
21,22,1.0,5,0,5,1,0,0,5.0,9,0,1
22,23,3.0,3,7,7,0,0,0,3.0,29,0,8
23,24,5.0,1,2,1,1,0,0,2.0,0,8,5
24,25,0.0,6,5,5,0,0,0,5.0,0,6,0
25,26,7.0,1,4,4,0,0,0,4.0,0,7,7
26,27,3.0,2,3,3,0,0,0,3.0,0,7,8
27,28,2.0,7,1,1,0,0,0,1.0,0,4,2
28,29,4.0,0,6,0,1,0,0,0.0,5,0,4
29,30,5.0,4,2,2,0,0,0,2.0,0,8,5
30,31,0.0,6,3,3,0,0,0,3.0,0,9,0
31,32,7.0,1,5,5,0,0,0,1.0,18,0,7
32,33,6.0,0,4,0,1,0,0,0.0,23,0,6
33,34,5.0,7,2,2,0,0,0,2.0,0,3,5
34,35,1.0,6,5,6,1,0,0,5.0,0,9,1
35,36,4.0,0,7,0,1,0,0,0.0,23,0,4
36,37,3.0,1,3,3,0,0,0,3.0,0,9,3
37,38,1.0,5,2,2,0,0,0,5.0,41,0,1
38,39,2.0,7,4,4,0,0,0,7.0,12,0,2
39,40,3.0,0,3,3,0,0,0,3.0,0,8,3
40,41,2.0,7,5,7,1,0,1,5.0,6,0,2
41,42,5.0,2,6,6,0,0,0,2.0,65,0,5
42,43,6.0,3,4,4,0,0,0,3.0,25,0,6
43,44,4.0,0,1,0,1,0,1,1.0,3,0,4
44,45,0.0,6,7,7,0,0,0,7.0,0,5,0
45,46,4.0,0,2,2,0,0,0,2.0,0,6,4
46,47,3.0,5,3,3,0,0,0,5.0,1,0,3
47,48,7.0,6,1,6,1,0,0,6.0,14,0,7
48,49,1.0,4,5,5,0,0,0,5.0,0,6,1
49,50,2.0,3,7,7,0,0,0,7.0,0,5,2
50,51,7.0,2,1,2,1,0,0,2.0,10,0,7
51,52,0.0,6,4,4,0,0,0,6.0,3,0,0
52,53,4.0,5,0,5,1,0,0,0.0,0,3,4
53,54,5.0,3,2,2,0,0,0,2.0,0,5,5
54,55,6.0,4,1,4,1,0,0,1.0,0,7,6
55,56,3.0,2,7,7,0,0,0,2.0,105,0,3
56,57,3.0,5,1,5,1,0,0,1.0,0,9,3
57,58,3.0,1,2,2,0,0,0,2.0,0,3,8
58,59,8.0,3,1,1,0,0,0,3.0,19,0,9
59,60,8.0,6,2,6,1,0,0,6.0,75,0,9
60,61,8.0,5,7,7,0,0,1,7.0,0,10,9
61,62,8.0,0,4,0,1,0,0,4.0,0,8,9
62,63,9.0,1,6,1,1,0,0,1.0,92,0,10
63,64,10.0,5,0,0,0,0,1,0.0,11,0,11
64,65,8.0,4,6,4,1,0,0,4.0,24,0,9
65,66,10.0,7,1,7,1,0,0,7.0,9,0,11
66,67,8.0,2,0,0,0,1,0,2.0,0,0,9
67,68,10.0,6,5,6,1,0,0,5.0,0,7,11
68,69,10.0,4,3,4,1,0,0,4.0,12,0,11
69,70,9.0,6,7,6,1,0,0,7.0,0,6,10
70,71,8.0,5,2,5,1,0,0,5.0,27,0,9
71,72,10.0,1,4,4,0,0,0,4.0,0,6,11
72,73,9.0,3,0,3,1,0,0,3.0,92,0,10
73,74,11.0,7,2,7,1,0,0,2.0,0,5,12
74,75,10.0,0,6,0,1,0,0,6.0,0,5,11
75,76,10.0,5,3,5,1,0,0,5.0,3,0,11
76,77,11.0,4,7,7,0,0,0,7.0,0,6,12
77,78,11.0,1,2,2,0,0,0,1.0,38,0,12
78,79,12.0,3,0,3,1,0,0,3.0,9,0,13
79,80,10.0,6,5,6,1,0,0,6.0,8,0,11
80,81,9.0,4,2,4,1,0,0,2.0,0,3,10
81,82,13.0,1,7,7,0,0,0,1.0,18,0,14
82,83,9.0,0,5,0,1,0,0,5.0,0,6,10
83,84,13.0,3,6,3,1,0,0,6.0,0,9,14
84,85,12.0,1,4,1,1,0,0,1.0,78,0,13
85,86,10.0,2,5,5,0,0,0,2.0,78,0,11
86,87,10.0,0,7,0,1,0,0,7.0,0,9,11
87,88,11.0,4,3,4,1,0,0,4.0,19,0,12
88,89,11.0,6,2,2,0,0,0,2.0,0,7,12
89,90,11.0,1,5,1,1,0,1,1.0,12,0,12
90,91,12.0,3,7,3,1,0,0,7.0,0,7,13
91,92,14.0,4,5,5,0,0,0,5.0,0,3,15
92,93,14.0,2,1,2,1,0,0,1.0,0,7,15
93,94,9.0,3,6,3,1,0,0,3.0,16,0,10
94,95,13.0,0,7,7,0,0,0,7.0,0,7,14
95,96,14.0,4,2,4,1,0,0,4.0,53,0,15
96,97,11.0,0,6,6,0,0,0,6.0,0,6,12
97,98,11.0,5,3,5,1,0,0,3.0,0,8,12
98,99,10.0,7,4,4,0,0,0,7.0,12,0,11
99,100,10.0,1,6,1,1,0,0,6.0,0,2,11
100,101,10.0,2,3,2,1,0,0,2.0,2,0,11
101,102,15.0,7,5,5,0,0,0,5.0,0,6,16
102,103,9.0,3,1,3,1,0,0,1.0,0,7,10
103,104,13.0,0,4,4,0,0,0,4.0,0,6,14
104,105,13.0,5,4,4,0,0,0,5.0,1,0,14
105,106,15.0,7,2,7,1,0,0,7.0,14,0,16
106,107,11.0,1,0,1,1,0,0,0.0,0,7,12
107,108,13.0,7,6,7,1,0,0,6.0,0,7,14
108,109,10.0,2,0,0,0,0,0,0.0,0,4,11
109,110,10.0,1,5,1,1,0,0,1.0,24,0,11
110,111,11.0,3,7,7,0,0,0,7.0,0,4,12
111,112,11.0,6,4,6,1,0,0,6.0,12,0,12
112,113,11.0,7,4,4,0,0,0,4.0,0,6,12
113,114,13.0,1,6,6,0,0,0,6.0,0,6,14
114,115,13.0,4,6,6,0,0,0,4.0,6,0,14
115,116,3.0,0,4,4,0,0,0,0.0,11,0,8
116,117,3.0,3,2,3,1,0,0,3.0,4,0,17
117,118,1.0,5,7,7,0,0,0,7.0,0,5,1
118,119,4.0,6,0,0,0,0,0,0.0,0,7,4
119,120,7.0,4,1,4,1,0,0,4.0,31,0,7
120,121,16.0,2,7,7,0,0,0,7.0,0,6,18
121,122,0.0,5,6,5,1,0,0,6.0,0,8,0
122,123,4.0,1,0,1,1,0,0,1.0,55,0,4
123,124,2.0,3,7,7,0,0,0,3.0,98,0,2
124,125,0.0,2,6,6,0,0,0,6.0,0,10,0
125,126,2.0,7,1,7,1,0,0,1.0,0,5,2
126,127,17.0,4,5,5,0,0,0,4.0,6,0,19
127,128,16.0,2,0,2,1,0,0,2.0,34,0,18
128,129,3.0,3,6,3,1,0,0,6.0,0,7,17
